X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,latitude,longitude,nearest_sensor_id,cluster_geo
358237.0,172777.0,738,CITY HALL - Camera 18 - Ramp (College Street),358237.0,172777.0,51.45194523556733,-2.601090158254474,101,2
358238.0,172777.0,739,CITY HALL - Camera 19 - Cash Hall (Deanery Road),358238.0,172777.0,51.45194530934799,-2.6010757662186332,101,2
358982.5,172914.5,740,Bristol Bridge/Baldwin Street,358982.5,172914.5,51.453236162876635,-2.5903768266810765,5,2
357636.72,174131.75,741,Clifton Down Station Camera 1,357636.72,174131.75,51.464082623417966,-2.6098917355153435,48,1
357665.0,174130.0,742,Clifton Down Rail Station 2,357665.0,174130.0,51.46406900406522,-2.6094844117845115,48,1
358249.0,172805.0,743,CITY HALL - Camera 1 - Cash Hall entrance (Central),358249.0,172805.0,51.452197899216515,-2.600920759387479,101,2
358255.0,172822.0,744,CITY HALL - Camera 2 - Cash Hall entrance (Park Street),358255.0,172822.0,51.452351207203634,-2.600836413378671,101,2
358258.0,172823.0,745,CITY HALL - Camera 3 - Door 3 (Frog Lane),358258.0,172823.0,51.45236042053354,-2.6007933549184616,101,2
358264.0,172823.0,746,CITY HALL - Camera 4 - Door 3 (Fire door),358264.0,172823.0,51.452360862975,-2.600707001914526,101,2
358963.0,172016.869999999,747,Att to Column 8,358963.0,172016.87,51.44516316450227,-2.5905533386779522,14,2
358825.0,173390.0,748,Metrobus Lewins Mead/ Broadmead,358825.0,173390.0,51.45750046801025,-2.592699011597737,12,2
359531.94,173533.57,749,between 17 and 19,359531.94,173533.57,51.45884245813224,-2.582539874537646,50,2
359497.86,173363.140000001,750,Bond Street/ Temple Way opposite Champion square (on traffic column),359497.86,173363.14,51.45730749546268,-2.5830109054441026,50,2
359325.18,168135.92,751,Whitchurch Lane,359325.18,168135.92,51.41029122041895,-2.5848958545326406,51,2
359585.0,168261.0,752,Whitchurch Lane/ Hengrove Park 5 (Hanger Way),359585.0,168261.0,51.41143454567598,-2.581174161694305,51,2
359046.44,172196.859999999,753,Redcliffe Hill,359046.44,172196.86,51.446787696783275,-2.589373478337306,14,2
360335.1,173967.560000001,754,"Rawnsley House, Right Front PTZ",360335.1,173967.56,51.46280181362119,-2.5710276670397474,23,0
358570.44,172504.26,755,Narrow Quay/Farr's Lane (Peros Bridge),358570.44,172504.26,51.4495172350181,-2.596259326191127,4,2
358323.0,172594.0,756,"Explore Lane (on anchor road, looking at explore lane)",358323.0,172594.0,51.45030602198748,-2.5998308781685457,4,2
361108.12,171604.630000001,757,Bath Road/Spine Road,361108.12,171604.63,51.44160765287843,-2.5596397610992208,36,0
358959.54,172081.34,758,Redcliffe Bridge Roundabout (Bedminster Bridge),358959.54,172081.34,51.44574263520854,-2.590610606531047,14,2
356712.0,169677.0,759,Entrance driveway South Bristol Crematorium,356712.0,169677.0,51.42395524571969,-2.622658804685548,104,2
358550.17,172609.75,760,Located on pontoon,358550.17,172609.75,51.45046432737822,-2.596563399937803,4,2
359567.04,173342.57,761,"St Matthias House, Main Entrance PTZ, St Jude's",359567.04,173342.57,51.457127474621615,-2.5820127919083053,50,2
359547.28,173339.390000001,762,"St Mathias House Main Entrance Lobby, St Jude's",359547.28,173339.39,51.4570974676189,-2.582296847855585,50,2
359208.65,174533.59,763,Montpellier Station,359208.65,174533.59,51.46781151733138,-2.58730880907326,56,1
357280.34,174839.77,764,Upper Belgrave Road/Stoke Road,357280.34,174839.77,51.47042237074581,-2.6151077174286956,61,1
359954.55,173396.33,765,"Somerset House Lobby #4, St Jude's",359954.55,173396.33,51.45763844384536,-2.5764411682632136,45,0
359951.33,173402.58,766,"Somerset House Lobby #3, St Jude's",359951.33,173402.58,51.45769441671176,-2.5764882245824863,45,0
359941.6,173420.23,767,"Somerset House Lobby #2, St Jude's",359941.6,173420.23,51.457852438909796,-2.576630277171957,45,0
359998.11,173449.48,768,"Wessex House/Gloucester House PTZ, St Jude's",359998.11,173449.48,51.45811945557461,-2.575820184186709,45,0
360000.09,173427.550000001,769,"Gloucester House/Trinity Avenue PTZ #2, St Jude's",360000.09,173427.55,51.45792239840265,-2.5757892027460536,45,0
359975.16,173420.08,770,"Gloucester House/Trinity Avenue PTZ #1, St Jude's",359975.16,173420.08,51.457853464643215,-2.576147198969016,45,0
359948.97,173385.689999999,771,"Somerset House Rear PTZ, St Jude's",359948.97,173385.69,51.45754237284806,-2.5765202808130883,45,0
359957.01,173426.449999999,772,"Somerset House, Car Park PTZ, St Jude's",359957.01,173426.45,51.457909460460655,-2.576409170796252,45,0
359997.3,173434.470000001,773,"Gloucester House Lobby #4, St Jude's",359997.3,173434.47,51.45798442664351,-2.575830144956671,45,0
359966.56,173421.26,774,"Gloucester House Lobby #2, St Jude's",359966.56,173421.26,51.45786346703402,-2.5762711206279674,45,0
359979.74,173436.5,775,"Gloucester House Lobby #3, St Jude's",359979.74,173436.5,51.45800143910502,-2.5760831333900773,45,0
359983.01,173428.02,776,"Gloucester House Lift, St Jude's",359983.01,173428.02,51.457925417193614,-2.5760351051305115,45,0
359966.56,173421.26,777,"Gloucester House Lobby #1, St Jude's",359966.56,173421.26,51.45786346703402,-2.5762711206279674,45,0
359957.93,173401.970000001,778,"Somerset House Laundry, St Jude's",359957.93,173401.97,51.45768939854732,-2.576393155703498,45,0
359169.17,173760.43,779,Junction Upper York Street and Backfields,359169.17,173760.43,51.46085634636928,-2.5877878774652587,1,2
353433.0,178784.0,780,St Anthonys Park Travellers Site - Camera 1,353433.0,178784.0,51.5055848899285,-2.6710209362463946,61,1
353433.0,178784.0,781,St Anthonys Park Travellers Site - Camera 2,353433.0,178784.0,51.5055848899285,-2.6710209362463946,61,1
353433.0,178784.0,782,St Anthonys Park Travellers Site - Camera 3,353433.0,178784.0,51.5055848899285,-2.6710209362463946,61,1
360879.0,170092.0,783,Wells Road/Ponsford Road,360879.0,170092.0,51.42799003909027,-2.562769382570297,36,0
360739.0,170660.0,784,Wells Road/Broadwalk,360739.0,170660.0,51.43308791027932,-2.564846205527243,36,0
358568.01,172956.039999999,785,Centre (Colston Street),358568.01,172956.04,51.45357950539199,-2.59634722323126,4,2
358561.74,172817.41,786,Centre (Denmark Street),358561.74,172817.41,51.45233247272183,-2.596421220257318,4,2
358349.18,171491.17,787,Cannon Street outside London Inn,358349.18,171491.17,51.440391192922085,-2.5993242750607544,4,2
359821.0,173401.0,788,"JCH Generator Room
",359821.0,173401.0,51.457670971045545,-2.578364002470121,51,2
359837.0,173417.0,789,"JCH Reception (Cam #1)
",359837.0,173417.0,51.457815980602255,-2.5781355177854755,51,2
359837.0,173417.0,790,"JCH Smoking Cage Door (Cam #2)
",359837.0,173417.0,51.457815980602255,-2.5781355177854755,51,2
359837.0,173417.0,791,"JCH CCTV Entry #1 (Cam #3)
",359837.0,173417.0,51.457815980602255,-2.5781355177854755,51,2
359837.0,173417.0,792,"JCH CCTV Entry #2 (Cam #4)
",359837.0,173417.0,51.457815980602255,-2.5781355177854755,51,2
359837.0,173417.0,793,"JCH Equipment Room #3 (Cam #5)
",359837.0,173417.0,51.457815980602255,-2.5781355177854755,51,2
359837.0,173417.0,794,"JCH Equipment Room #2-1 (Cam #6)
",359837.0,173417.0,51.457815980602255,-2.5781355177854755,51,2
359837.0,173417.0,795,"JCH Equipment Room #2-2 (Cam #7)
",359837.0,173417.0,51.457815980602255,-2.5781355177854755,51,2
359837.0,173417.0,796,"JCH CCTV Housing Door (Cam #8)
",359837.0,173417.0,51.457815980602255,-2.5781355177854755,51,2
359830.0,173413.0,797,"JCH Control Room Entrance External
",359830.0,173413.0,51.457779515316524,-2.5782358208818237,51,2
359829.67,173454.82,798,"Great Ann Street Grass Area PTZ, St Jude's",359829.67,173454.82,51.45815554206776,-2.578245322681819,51,2
359789.23,173498.51,799,"Great George Street/Wade Street PTZ, St Jude's",359789.23,173498.51,51.4585455354077,-2.57883238732269,51,2
359793.17,173478.789999999,800,"Elton House Main Door Internal, St Jude's",359793.17,173478.79,51.45836849091326,-2.5787734315089215,51,2
359835.59,173439.529999999,801,"John Cozens House Lift, St Jude's",359835.59,173439.53,51.45801847284907,-2.578158372832493,51,2
359835.59,173439.529999999,802,John Cozens House Entrance Lobby,359835.59,173439.53,51.45801847284907,-2.578158372832493,51,2
358813.11,171814.710000001,803,Bedminster Parade/Regent Road,358813.11,171814.71,51.44333443522958,-2.592686711683492,14,2
358367.16,172807.880000001,804,Park Street (Lower) College Green,358367.16,172807.88,51.45223249970064,-2.5992205256115084,101,2
359532.64,173568.060000001,805,Bond Street South,359532.64,173568.06,51.459152645885204,-2.5825337467025156,50,2
359651.81,173660.49,806,opp 007,359651.81,173660.49,51.459992295720774,-2.5808289213596596,50,2
359550.99,173577.609999999,807,next to 007,359550.99,173577.61,51.45923983241634,-2.5822707030826986,50,2
358363.66,167605.189999999,808,Middleford House Front Door (External Static),358363.66,167605.19,51.405449005741595,-2.5986591948811784,51,2
358363.66,167605.189999999,809,Middleford House Rear Lobby,358363.66,167605.19,51.405449005741595,-2.5986591948811784,51,2
358363.66,167605.189999999,810,Middleford House Lift 02,358363.66,167605.19,51.405449005741595,-2.5986591948811784,51,2
358363.66,167605.189999999,811,Middleford House Lift 01,358363.66,167605.19,51.405449005741595,-2.5986591948811784,51,2
358363.66,167605.189999999,812,Middleford House Lift Lobby,358363.66,167605.19,51.405449005741595,-2.5986591948811784,51,2
358363.66,167605.189999999,813,Middleford House Front Lobby,358363.66,167605.19,51.405449005741595,-2.5986591948811784,51,2
358368.43,167609.939999999,814,Middleford House Front Door Panel,358368.43,167609.94,51.405492068777484,-2.5985911721443262,51,2
358364.64,167606.41,815,Middleford House Laundry,358364.64,167606.41,51.405460048144704,-2.598645248232092,51,2
358363.87,167605.52,816,Hartcliffe Middleford House Ground Floor Stairwell,358363.87,167605.52,51.4054519885763,-2.5986562143654357,51,2
359157.34,173060.470000001,817,Castle Park (South West),359157.34,173060.47,51.45456138359069,-2.5878773058590343,50,2
361111.45,172894.74,818,"Barton House, Rear Left PTZ",361111.45,172894.74,51.45320875512216,-2.5597336713940666,35,0
361117.7,172912.039999999,819,"Barton House, Lift #2",361117.7,172912.04,51.45336474868897,-2.559645620201829,35,0
361114.69,172918.300000001,820,"Barton House, Main Entrance Door Panel",361114.69,172918.3,51.45342083276038,-2.5596896302494336,35,0
361089.15,172922.380000001,821,"Barton House, Cotton Mill Lane PTZ",361089.15,172922.38,51.45345576551789,-2.5600576663082566,35,0
361112.45,172925.539999999,822,"Barton House, Front Upper PTZ",361112.45,172925.54,51.45348578202415,-2.5597226658547116,35,0
361118.26,172912.369999999,823,"Barton House, Lift #1",361118.26,172912.37,51.45336775456768,-2.5596375966365743,35,0
361118.26,172912.369999999,824,"Barton House, Secondary Stairwell (Internal)",361118.26,172912.37,51.45336775456768,-2.5596375966365743,35,0
361118.26,172912.369999999,825,"Barton House, Laundry",361118.26,172912.37,51.45336775456768,-2.5596375966365743,35,0
361118.26,172912.369999999,826,"Barton House, Rear Door (External)",361118.26,172912.37,51.45336775456768,-2.5596375966365743,35,0
361118.26,172912.369999999,827,"Barton House, Stair Lobby #2",361118.26,172912.37,51.45336775456768,-2.5596375966365743,35,0
361118.26,172912.369999999,828,"Barton House, Lift Lobby (Left)",361118.26,172912.37,51.45336775456768,-2.5596375966365743,35,0
361118.26,172912.369999999,829,"Barton House, Stair Lobby #1",361118.26,172912.37,51.45336775456768,-2.5596375966365743,35,0
361118.26,172912.369999999,830,"Barton House, Lift Lobby (Right)",361118.26,172912.37,51.45336775456768,-2.5596375966365743,35,0
361593.61,177661.109999999,831,Lockleaze Footpath Camera 03,361593.61,177661.11,51.49610147995792,-2.5533124556556017,47,1
361215.37,177305.42,832,Lockleaze Footpath Camera 01,361215.37,177305.42,51.49287725320679,-2.5587222957822706,47,1
359482.07,172697.52,833,Temple Way,359482.07,172697.52,51.451321036294004,-2.583161913511459,51,2
357142.38,179135.560000001,834,On Col 24,357142.38,179135.56,51.50903968007749,-2.6176157549349908,63,1
357006.0,179088.0,835,Crow Lane Column 19 ,357006.0,179088.0,51.50860165859461,-2.619575185638624,63,1
357108.0,179140.0,836,Crow Lane  Column 22,357108.0,179140.0,51.50907699498727,-2.618111710036163,63,1
354450.0,178286.0,837,Otterly Close ,354450.0,178286.0,51.50118982973975,-2.656302889163093,61,1
359580.87,174006.65,838,"Burnell Drive #2 PTZ, St Paul's",359580.87,174006.65,51.463099939090895,-2.581889659729507,56,1
359564.59,173959.18,839,"Burnell Drive #1 PTZ, St Paul's",359564.59,173959.18,51.46267192091859,-2.582118589078115,56,1
359571.44,173956.789999999,840,"Begarswell Close Laundry, St Paul's",359571.44,173956.79,51.46265091928288,-2.5820197067998176,56,1
360348.21,173999.93,841,"Rawnsley House, Lift #2",360348.21,173999.93,51.46309380734252,-2.570842573275741,23,0
360348.21,173999.93,842,"Rawnsley House, Laundry",360348.21,173999.93,51.46309380734252,-2.570842573275741,23,0
360348.21,173999.93,843,"Rawnsley House, Lift #1",360348.21,173999.93,51.46309380734252,-2.570842573275741,23,0
360285.56,174081.720000001,844,Highett Drive Upper Door Panel,360285.56,174081.72,51.46382487847447,-2.5717536496024898,56,1
360348.21,173999.93,845,"Rawnsley House, Lift lobby",360348.21,173999.93,51.46309380734252,-2.570842573275741,23,0
360348.21,173999.93,846,"Rawnsley House, Main Entrance (Internal)",360348.21,173999.93,51.46309380734252,-2.570842573275741,23,0
360336.48,174001.689999999,847,"Rawnsley House, Main Entrance (External)",360336.48,174001.69,51.46310881131236,-2.571011631411705,23,0
360342.36,173998.859999999,848,"Rawnsley House, Main Entrance Door Panel",360342.36,173998.86,51.46308377578139,-2.5709266675899474,23,0
360341.51,174022.890000001,849,"Rawnsley House, Left Front PTZ",360341.51,174022.89,51.46329979676884,-2.5709416002983225,23,0
360304.16,174026.52,850,Highett Drive Lower PTZ,360304.16,174026.52,51.46332981898056,-2.5714796867945733,56,1
360285.56,174081.720000001,851,Highett Drive Upper PTZ,360285.56,174081.72,51.46382487847447,-2.5717536496024898,56,1
358787.78,173047.9,852,Small Street,358787.78,173047.9,51.45442156399858,-2.5931948742570676,2,2
358916.73,172938.66,853,St Nicholas Street (End Near Bristol Bridge) - Street Lighting Column 002,358916.73,172938.66,51.453448641965394,-2.591326226108344,1,2
358889.0,172942.0,854,St Nicks Market - Covered Market St Nicholas Street entrance,358889.0,172942.0,51.45347666212417,-2.591725719349501,1,2
359513.33,173934.460000001,855,"Princes Street/Burnell Drive PTZ, St Paul's",359513.33,173934.46,51.46244597069621,-2.5828536685410386,56,1
359562.72,173882.01,856,"Princes Street/Beggarswell Close PTZ, St Paul's",359562.72,173882.01,51.46197786689594,-2.5821366796495737,56,1
359558.3,173893.5,857,"Beggarswell Close #2 PTZ, St Paul's",359558.3,173893.5,51.46208087024032,-2.582201621291645,56,1
357810.58,170699.68,858,Bedminster Down Road/West Street,357810.58,170699.68,51.43323416466174,-2.606979524925255,104,2
358326.82,171382.119999999,859,Diamond Street Car Park,358326.82,171382.12,51.43940895862444,-2.599633158864024,4,2
357810.58,170699.68,860,Junction Bedminster Down Road and West Street,357810.58,170699.68,51.43323416466174,-2.606979524925255,104,2
357299.12,176588.210000001,861,,357299.12,176588.21,51.48614579962554,-2.615048755379988,63,1
357351.08,174901.01,862,Westbury Road,357351.08,174901.01,51.47097838092313,-2.6140966092735076,61,1
359747.77,173492.609999999,863,"Whitson House, Car Park PTZ, St Jude's",359747.77,173492.61,51.4584895344542,-2.579428497748822,51,2
359721.17,173459.119999999,864,"Ropewalk House Lift #1, St Jude's",359721.17,173459.12,51.458186496023906,-2.579807566453663,51,2
359725.01,173452.310000001,865,Ropewalk House/Great George Street PTZ) St Jude's,359725.01,173452.31,51.458125533051536,-2.5797515174752825,51,2
359759.59,173450.029999999,866,"Elbridge House, Car Park PTZ, St Jude's",359759.59,173450.03,51.45810749098599,-2.5792535122003195,51,2
359664.48,173363.369999999,867,"Tyndall House, New Street PTZ, St Jude's",359664.48,173363.37,51.457321463739824,-2.5806126410557986,51,2
359690.18,173415.33,868,"Ropewalk House Great George Street Entrance, St Jude's",359690.18,173415.33,51.45779052495287,-2.5802486452229947,51,2
359721.17,173459.119999999,869,"Ropewalk House Lift Lobby #1, St Jude's",359721.17,173459.12,51.458186496023906,-2.579807566453663,51,2
359742.54,173472.52,870,"Whitson House Stairwell, St Jude's",359742.54,173472.52,51.458308510923224,-2.5795014914156686,51,2
